Model,Version,Size,Class,Precision,Recall,F1-Score,mAP50,mAP50-95
YOLOv10n,10,n,angry,0.5897,0.6687,0.6267,0.6614,0.5154
YOLOv10n,10,n,disgust,0.4301,0.3687,0.3971,0.3668,0.2616
YOLOv10n,10,n,fear,0.4059,0.5639,0.4720,0.5002,0.3900
YOLOv10n,10,n,happy,0.8521,0.9062,0.8783,0.9415,0.7538
YOLOv10n,10,n,neutral,0.5581,0.8030,0.6585,0.7122,0.5745
YOLOv10n,10,n,sad,0.4570,0.7696,0.5735,0.5722,0.4447
YOLOv10n,10,n,surprise,0.6795,0.7581,0.7167,0.7962,0.6270
YOLOv10s,10,s,angry,0.6489,0.6188,0.6335,0.6790,0.5258
YOLOv10s,10,s,disgust,0.6153,0.4186,0.4983,0.4972,0.3853
YOLOv10s,10,s,fear,0.5023,0.4670,0.4840,0.5334,0.4152
YOLOv10s,10,s,happy,0.8871,0.8901,0.8886,0.9385,0.7559
YOLOv10s,10,s,neutral,0.6102,0.7626,0.6779,0.7274,0.5874
YOLOv10s,10,s,sad,0.5675,0.6091,0.5875,0.6059,0.4768
YOLOv10s,10,s,surprise,0.7071,0.7583,0.7318,0.7793,0.6082
YOLOv10m,10,m,angry,0.6095,0.6379,0.6234,0.6626,0.5178
YOLOv10m,10,m,disgust,0.5340,0.4186,0.4693,0.4744,0.3406
YOLOv10m,10,m,fear,0.5220,0.4908,0.5059,0.5314,0.4206
YOLOv10m,10,m,happy,0.8876,0.8947,0.8911,0.9397,0.7589
YOLOv10m,10,m,neutral,0.6219,0.7374,0.6747,0.7273,0.5891
YOLOv10m,10,m,sad,0.5311,0.6003,0.5636,0.5889,0.4596
YOLOv10m,10,m,surprise,0.7197,0.7550,0.7369,0.7893,0.6212
YOLOv10l,10,l,angry,0.5325,0.6696,0.5932,0.6459,0.5101
YOLOv10l,10,l,disgust,0.4727,0.3721,0.4164,0.4057,0.3137
YOLOv10l,10,l,fear,0.4391,0.5419,0.4851,0.5035,0.3984
YOLOv10l,10,l,happy,0.8777,0.9073,0.8922,0.9336,0.7566
YOLOv10l,10,l,neutral,0.5767,0.7744,0.6611,0.7157,0.5832
YOLOv10l,10,l,sad,0.5101,0.6779,0.5821,0.5949,0.4671
YOLOv10l,10,l,surprise,0.6684,0.8179,0.7356,0.7888,0.6283
YOLOv11n,11,n,angry,0.5847,0.6196,0.6016,0.6494,0.4965
YOLOv11n,11,n,disgust,0.4683,0.3256,0.3841,0.3496,0.2472
YOLOv11n,11,n,fear,0.5023,0.4559,0.4780,0.4979,0.3896
YOLOv11n,11,n,happy,0.8429,0.9085,0.8745,0.9372,0.7471
YOLOv11n,11,n,neutral,0.6005,0.7727,0.6758,0.7182,0.5776
YOLOv11n,11,n,sad,0.5221,0.6545,0.5808,0.5797,0.4470
YOLOv11n,11,n,surprise,0.7308,0.7649,0.7474,0.8077,0.6333
YOLOv11s,11,s,angry,0.5878,0.6696,0.6260,0.6419,0.5017
YOLOv11s,11,s,disgust,0.4801,0.5116,0.4954,0.4181,0.3079
YOLOv11s,11,s,fear,0.4591,0.5639,0.5061,0.5239,0.4082
YOLOv11s,11,s,happy,0.8728,0.8993,0.8858,0.9368,0.7516
YOLOv11s,11,s,neutral,0.5846,0.7542,0.6586,0.7238,0.5796
YOLOv11s,11,s,sad,0.5274,0.6175,0.5689,0.5708,0.4513
YOLOv11s,11,s,surprise,0.6813,0.7483,0.7133,0.7912,0.6269
YOLOv11m,11,m,angry,0.5844,0.6083,0.5961,0.6420,0.5028
