epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.511,1.01486,2.40489,1.61281,0.09458,0.03912,0.06677,0.03985,1.56872,inf,2.96478,0.000332872,0.000332872,0.0670457
2,322.66,1.0414,1.78527,1.5872,0,0,0,0,1.45991,inf,2.52633,0.000666093,0.000666093,0.0340456
3,461.126,1.01186,1.64768,1.55757,0.40555,0.5235,0.32617,0.22208,1.13855,1.39123,2.08839,0.000998867,0.000998867,0.00104504
4,599.794,0.9978,1.58609,1.53919,0.00023,0.06918,0.00017,0.00013,1.02965,inf,1.98481,0.000998489,0.000998489,0.000998489
5,738.996,0.95956,1.53715,1.51031,0.43918,0.58703,0.41829,0.30686,0.98251,1.91296,1.89264,0.000997316,0.000997316,0.000997316
6,877.799,0.95605,1.50708,1.50472,0,0,0,0,0.93751,inf,1.86107,0.000995808,0.000995808,0.000995808
7,1016.21,0.93293,1.48086,1.48716,0.40352,0.57784,0.33759,0.24767,0.98175,83.2765,1.91726,0.000993967,0.000993967,0.000993967
8,1154.14,0.92461,1.46939,1.48014,0.52817,0.55922,0.46759,0.33697,1.03479,1.13713,1.97713,0.000991795,0.000991795,0.000991795
9,1292.85,0.91793,1.43986,1.4716,0.53122,0.55677,0.48263,0.35997,0.94188,1.11956,1.83087,0.000989292,0.000989292,0.000989292
10,1431.68,0.91028,1.43381,1.46614,0.53993,0.58485,0.48507,0.36647,0.90042,1.07331,1.79384,0.000986461,0.000986461,0.000986461
11,1569.34,0.90549,1.42599,1.46096,0.53446,0.57209,0.48838,0.36266,0.92414,1.06791,1.88338,0.000983304,0.000983304,0.000983304
12,1706.99,0.89766,1.40548,1.45427,0.54313,0.57696,0.50196,0.38119,0.8974,1.02212,1.79333,0.000979822,0.000979822,0.000979822
13,1844.47,0.88335,1.39626,1.44458,0.56671,0.56729,0.51252,0.38781,0.88735,1.00829,1.77838,0.000976018,0.000976018,0.000976018
14,1982.18,0.88003,1.39057,1.4421,0.55616,0.58926,0.52058,0.39164,0.88133,1.04672,1.8057,0.000971894,0.000971894,0.000971894
15,2120.67,0.87251,1.37614,1.43625,0.56637,0.59223,0.53276,0.40518,0.88186,0.99585,1.75556,0.000967454,0.000967454,0.000967454
16,2259,0.874,1.37875,1.43644,0.42787,0.60728,0.53685,0.40956,0.85953,0.96345,1.75353,0.000962701,0.000962701,0.000962701
17,2396.87,0.86616,1.37989,1.43192,0.59232,0.58329,0.5437,0.41514,0.86024,0.95779,1.75354,0.000957637,0.000957637,0.000957637
18,2534.81,0.85948,1.36086,1.42709,0.45739,0.63953,0.54526,0.4125,0.87597,0.976,1.77048,0.000952267,0.000952267,0.000952267
19,2672.13,0.85936,1.35051,1.42212,0.6032,0.57811,0.55022,0.42072,0.8532,0.94976,1.72697,0.000946593,0.000946593,0.000946593
20,2809.85,0.85785,1.35258,1.4242,0.45404,0.62858,0.56162,0.42989,0.83603,0.94638,1.73835,0.00094062,0.00094062,0.00094062
21,2947.92,0.8545,1.34403,1.42262,0.45474,0.61723,0.55934,0.43035,0.85177,0.92925,1.73688,0.000934352,0.000934352,0.000934352
22,3085.64,0.84517,1.34296,1.41443,0.45472,0.65215,0.56346,0.43018,0.85868,0.93489,1.7417,0.000927794,0.000927794,0.000927794
23,3223.98,0.8464,1.33796,1.41458,0.47123,0.62128,0.55998,0.4275,0.86168,0.92977,1.7685,0.000920949,0.000920949,0.000920949
