epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,308.066,1.15129,1.81763,1.70913,0.36259,0.50544,0.16948,0.05239,2.2398,2.84874,3.49283,0.000332872,0.000332872,0.0670457
2,594.032,1.06181,1.67164,1.62297,0,0,0,0,1.40864,inf,2.47556,0.000666093,0.000666093,0.0340456
3,860.165,1.00268,1.605,1.57349,0.39083,0.54018,0.35,0.23645,1.11107,1.54634,2.13232,0.000998867,0.000998867,0.00104504
4,1125.38,0.96522,1.56183,1.53739,0.4661,0.64276,0.37941,0.25674,1.10306,1.45054,2.18271,0.000998489,0.000998489,0.000998489
5,1390.46,0.94045,1.51882,1.51758,0.45904,0.64473,0.41725,0.30124,0.99157,1.23669,1.91429,0.000997316,0.000997316,0.000997316
6,1656.27,0.92264,1.49216,1.50154,0.48119,0.57054,0.43686,0.32246,0.95778,1.25396,1.87845,0.000995808,0.000995808,0.000995808
7,1921.59,0.90419,1.4623,1.48532,0.45586,0.61315,0.43757,0.31906,0.99037,1.26349,1.93749,0.000993967,0.000993967,0.000993967
8,2186.68,0.89641,1.44588,1.4773,0.49532,0.56689,0.44853,0.32489,0.98416,1.316,1.93196,0.000991795,0.000991795,0.000991795
9,2451.95,0.88406,1.4251,1.46723,0.51408,0.58909,0.48009,0.35895,0.92991,1.13567,1.82613,0.000989292,0.000989292,0.000989292
10,2717.67,0.87515,1.41344,1.45913,0.51377,0.60077,0.49384,0.36434,0.93132,1.14442,1.87442,0.000986461,0.000986461,0.000986461
11,2983.15,0.86902,1.4067,1.45263,0.53974,0.57573,0.49207,0.37164,0.87613,1.09979,1.76167,0.000983304,0.000983304,0.000983304
12,3248.16,0.86105,1.38561,1.44584,0.53541,0.57183,0.49223,0.37036,0.92073,1.10255,1.88924,0.000979822,0.000979822,0.000979822
13,3513.46,0.85349,1.37348,1.44137,0.43558,0.6205,0.52178,0.39282,0.89433,1.07794,1.79379,0.000976018,0.000976018,0.000976018
14,3778.72,0.84714,1.37145,1.43644,0.44732,0.62755,0.52452,0.39629,0.89965,1.03681,1.85484,0.000971894,0.000971894,0.000971894
15,4044.06,0.84345,1.35379,1.43149,0.54684,0.56877,0.51237,0.38987,0.88728,1.0861,1.81218,0.000967454,0.000967454,0.000967454
16,4308.89,0.8422,1.35541,1.43118,0.44395,0.6393,0.53453,0.41126,0.86983,1.0258,1.79633,0.000962701,0.000962701,0.000962701
17,4574.51,0.83592,1.35109,1.42842,0.57857,0.59057,0.53986,0.4082,0.88964,1.02776,1.79637,0.000957637,0.000957637,0.000957637
18,4839.61,0.83186,1.33054,1.42248,0.4672,0.66725,0.55843,0.4284,0.84263,0.99652,1.76213,0.000952267,0.000952267,0.000952267
19,5104.66,0.82749,1.32388,1.41726,0.55898,0.62373,0.56016,0.4293,0.86514,0.99321,1.76693,0.000946593,0.000946593,0.000946593
20,5370.18,0.8228,1.32174,1.41533,0.45691,0.67592,0.55922,0.4322,0.83634,0.98608,1.76323,0.00094062,0.00094062,0.00094062
21,5635.8,0.81945,1.30932,1.41322,0.47886,0.64393,0.56645,0.43536,0.85141,0.97567,1.78941,0.000934352,0.000934352,0.000934352
22,5901.43,0.81761,1.30865,1.41018,0.4653,0.69205,0.57289,0.44154,0.84511,0.96971,1.76912,0.000927794,0.000927794,0.000927794
23,6166.99,0.81813,1.29726,1.41056,0.4738,0.66658,0.57906,0.44784,0.84716,0.96181,1.74714,0.000920949,0.000920949,0.000920949
24,6431.9,0.80499,1.28854,1.40316,0.51318,0.62181,0.58136,0.45072,0.84138,0.9506,1.72035,0.000913822,0.000913822,0.000913822
25,6697.17,0.81266,1.29177,1.4062,0.50408,0.66422,0.57982,0.44971,0.84644,0.95322,1.71631,0.000906418,0.000906418,0.000906418
