epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.445,1.10376,1.87339,1.66941,0.41292,0.55582,0.33783,0.18306,1.6016,1.64337,2.66158,0.000332872,0.000332872,0.0670457
2,265.03,1.025,1.61357,1.58756,0.4115,0.50712,0.36435,0.23547,1.2594,1.70954,2.25858,0.000666093,0.000666093,0.0340456
3,390.237,0.97808,1.54662,1.54818,0.48709,0.54648,0.42644,0.29049,1.09372,1.36544,2.11546,0.000998867,0.000998867,0.00104504
4,515.529,0.94979,1.51049,1.5206,0.51456,0.56993,0.42572,0.30559,1.00458,1.33636,1.93952,0.000998489,0.000998489,0.000998489
5,640.557,0.92078,1.46036,1.49728,0.38822,0.61517,0.47014,0.3302,1.03097,1.19002,2.01642,0.000997316,0.000997316,0.000997316
6,765.955,0.90673,1.44908,1.48522,0.50445,0.54945,0.44991,0.32178,1.03011,1.28739,1.96392,0.000995808,0.000995808,0.000995808
7,891.076,0.8949,1.42208,1.47364,0.3889,0.63703,0.49764,0.37348,0.93634,1.17521,1.85475,0.000993967,0.000993967,0.000993967
8,1016.24,0.88487,1.40698,1.46537,0.52356,0.60525,0.50458,0.36948,0.95044,1.14801,1.90093,0.000991795,0.000991795,0.000991795
9,1141.51,0.8752,1.38447,1.45682,0.55668,0.57078,0.514,0.37909,0.93582,1.11677,1.88611,0.000989292,0.000989292,0.000989292
10,1266.96,0.87139,1.37773,1.45249,0.55902,0.5896,0.51843,0.38356,0.97176,1.09099,1.87853,0.000986461,0.000986461,0.000986461
11,1392.18,0.86267,1.37216,1.44506,0.58023,0.58825,0.53707,0.40074,0.91199,1.06628,1.82973,0.000983304,0.000983304,0.000983304
12,1517.39,0.85511,1.35452,1.44042,0.59145,0.58914,0.54191,0.4077,0.91531,1.04557,1.83157,0.000979822,0.000979822,0.000979822
