epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,311.139,1.12867,1.80415,1.68526,0.43726,0.61769,0.26277,0.14967,1.41083,2.10592,2.65982,0.000332872,0.000332872,0.0670457
2,610.343,1.04465,1.63851,1.60472,0.37708,0.59402,0.36229,0.22616,1.35988,1.66373,2.48273,0.000666093,0.000666093,0.0340456
3,901.476,0.9918,1.56882,1.56041,0.40776,0.60139,0.36531,0.24285,1.16123,1.52879,2.20744,0.000998867,0.000998867,0.00104504
4,1192.8,0.95923,1.52983,1.52935,0.48438,0.59023,0.46252,0.33069,1.0352,1.22158,2.075,0.000998489,0.000998489,0.000998489
5,1483.29,0.92671,1.47651,1.50367,0.37121,0.61613,0.46836,0.34732,0.94855,1.16218,1.88986,0.000997316,0.000997316,0.000997316
6,1773.74,0.90974,1.4493,1.48906,0.53497,0.57878,0.4848,0.35455,0.95166,1.16013,1.92184,0.000995808,0.000995808,0.000995808
7,2064.1,0.89367,1.4213,1.47474,0.4128,0.6088,0.4652,0.33307,1.01578,1.27521,1.99821,0.000993967,0.000993967,0.000993967
8,2354.19,0.88346,1.40665,1.46622,0.52385,0.5886,0.49852,0.36659,0.96636,1.15092,1.94559,0.000991795,0.000991795,0.000991795
9,2644.94,0.87483,1.38804,1.45756,0.5618,0.57507,0.50437,0.38077,0.90559,1.0964,1.86687,0.000989292,0.000989292,0.000989292
10,2935.22,0.86653,1.37699,1.45045,0.38568,0.59768,0.51747,0.38269,0.95259,1.09176,1.91788,0.000986461,0.000986461,0.000986461
11,3225.22,0.86217,1.36985,1.44606,0.55021,0.58891,0.50788,0.37816,0.92285,1.13559,1.90042,0.000983304,0.000983304,0.000983304
12,3515.67,0.85123,1.35184,1.43784,0.58836,0.57719,0.53339,0.4021,0.91482,1.06337,1.8537,0.000979822,0.000979822,0.000979822
13,3805.97,0.84546,1.33832,1.432,0.4226,0.63359,0.53092,0.38958,0.97711,1.08885,2.00584,0.000976018,0.000976018,0.000976018
14,4096.64,0.83982,1.33072,1.42757,0.42742,0.62837,0.52571,0.39535,0.90699,1.08316,1.86318,0.000971894,0.000971894,0.000971894
15,4386.96,0.83389,1.31728,1.42175,0.57989,0.60555,0.56543,0.43376,0.87388,1.01117,1.82515,0.000967454,0.000967454,0.000967454
16,4677.81,0.83161,1.31741,1.4202,0.48228,0.62062,0.54299,0.40788,0.90159,1.05287,1.85971,0.000962701,0.000962701,0.000962701
17,4968.31,0.82502,1.31377,1.41723,0.51346,0.64002,0.57714,0.44341,0.85888,0.99451,1.7757,0.000957637,0.000957637,0.000957637
18,5259.64,0.82263,1.29514,1.4133,0.51178,0.64214,0.58891,0.44829,0.87084,0.98349,1.81457,0.000952267,0.000952267,0.000952267
19,5550.67,0.81773,1.28952,1.40773,0.48629,0.63661,0.56359,0.42705,0.8845,1.02089,1.8267,0.000946593,0.000946593,0.000946593
20,5841.13,0.81377,1.28938,1.4073,0.52749,0.65119,0.59819,0.46153,0.8374,0.96419,1.76106,0.00094062,0.00094062,0.00094062
21,6132.3,0.81147,1.27644,1.40507,0.53697,0.64618,0.5996,0.45987,0.8578,0.95516,1.78171,0.000934352,0.000934352,0.000934352
22,6423.2,0.80904,1.27691,1.40091,0.51883,0.68644,0.61001,0.46808,0.84929,0.94452,1.80297,0.000927794,0.000927794,0.000927794
23,6713.97,0.80999,1.26397,1.40175,0.51739,0.66882,0.60313,0.46185,0.85602,0.95093,1.79819,0.000920949,0.000920949,0.000920949
24,7004.74,0.79754,1.25433,1.39399,0.53321,0.65827,0.61078,0.47035,0.83646,0.9318,1.77995,0.000913822,0.000913822,0.000913822
25,7295.88,0.80399,1.2577,1.39709,0.56564,0.63483,0.6197,0.47758,0.84526,0.92708,1.78403,0.000906418,0.000906418,0.000906418
26,7587.34,0.79872,1.24581,1.3912,0.54503,0.64583,0.62298,0.47902,0.84487,0.92491,1.77522,0.000898743,0.000898743,0.000898743
27,7878.4,0.79278,1.24442,1.38832,0.52668,0.68436,0.62242,0.4826,0.83149,0.9168,1.76748,0.000890802,0.000890802,0.000890802
28,8169.31,0.79132,1.2427,1.38739,0.53415,0.68903,0.62388,0.48234,0.8365,0.9173,1.79035,0.000882599,0.000882599,0.000882599
29,8459.6,0.78592,1.22496,1.38353,0.54792,0.67281,0.62804,0.48734,0.82774,0.91252,1.76716,0.000874141,0.000874141,0.000874141
30,8749.87,0.78506,1.22714,1.38153,0.54036,0.68451,0.63174,0.48916,0.82605,0.90934,1.76221,0.000865433,0.000865433,0.000865433
31,9039.99,0.78447,1.21898,1.3805,0.57432,0.63594,0.63319,0.48986,0.82994,0.90685,1.77254,0.000856482,0.000856482,0.000856482
32,9330.46,0.78003,1.21282,1.37824,0.588,0.63438,0.63915,0.49497,0.82749,0.90622,1.76285,0.000847294,0.000847294,0.000847294
33,9621.15,0.78563,1.21012,1.38076,0.57148,0.65364,0.64402,0.49868,0.82728,0.90269,1.75579,0.000837874,0.000837874,0.000837874
34,9911.72,0.7747,1.20833,1.37328,0.55986,0.67681,0.64632,0.50055,0.82472,0.90107,1.75123,0.00082823,0.00082823,0.00082823
35,10202.1,0.77444,1.20768,1.37318,0.563,0.69036,0.6465,0.50021,0.82869,0.90066,1.75442,0.000818367,0.000818367,0.000818367
36,10491.7,0.77001,1.18745,1.36836,0.56729,0.6892,0.64946,0.50222,0.82691,0.89943,1.75632,0.000808293,0.000808293,0.000808293
37,10781.8,0.76863,1.19745,1.36846,0.56346,0.70303,0.65289,0.50511,0.82423,0.89512,1.75524,0.000798015,0.000798015,0.000798015
38,11072.1,0.76391,1.18468,1.36547,0.57646,0.68225,0.65431,0.50624,0.82534,0.89509,1.7559,0.000787539,0.000787539,0.000787539
39,11361.9,0.75973,1.17863,1.36189,0.58832,0.66746,0.6566,0.5084,0.82286,0.89382,1.75335,0.000776873,0.000776873,0.000776873
40,11651.9,0.76492,1.1726,1.36473,0.59908,0.66296,0.65693,0.5097,0.82107,0.8923,1.75562,0.000766024,0.000766024,0.000766024
41,11941.9,0.76297,1.17442,1.36436,0.59081,0.66937,0.6584,0.51027,0.82023,0.89236,1.755,0.000755,0.000755,0.000755
42,12232.7,0.75796,1.16988,1.35804,0.58747,0.67479,0.65874,0.5109,0.8175,0.89135,1.75294,0.000743808,0.000743808,0.000743808
43,12523.3,0.75689,1.1606,1.35854,0.58388,0.68116,0.66044,0.5126,0.81739,0.89191,1.75471,0.000732455,0.000732455,0.000732455
44,12813.8,0.75501,1.15842,1.35705,0.59104,0.6751,0.66182,0.51342,0.81772,0.89053,1.75796,0.00072095,0.00072095,0.00072095
45,13104.1,0.75661,1.16277,1.35806,0.59656,0.66617,0.66319,0.51475,0.81854,0.89008,1.76138,0.000709301,0.000709301,0.000709301
46,13394.6,0.74806,1.14564,1.35212,0.5977,0.66626,0.66389,0.5161,0.81832,0.88961,1.7639,0.000697515,0.000697515,0.000697515
47,13685.5,0.74628,1.14059,1.34952,0.5962,0.67029,0.66578,0.51618,0.81878,0.88978,1.76772,0.0006856,0.0006856,0.0006856
48,13976.6,0.74625,1.13682,1.35028,0.60061,0.66175,0.6667,0.51754,0.81859,0.8893,1.7692,0.000673565,0.000673565,0.000673565
49,14267.7,0.74829,1.13205,1.35137,0.60037,0.66581,0.66692,0.51738,0.81851,0.88955,1.77054,0.000661418,0.000661418,0.000661418
50,14558.5,0.74158,1.12554,1.34718,0.59194,0.67732,0.6679,0.51839,0.8182,0.88974,1.76967,0.000649168,0.000649168,0.000649168
51,14849.8,0.74192,1.12867,1.34569,0.58635,0.69007,0.67025,0.51998,0.81728,0.88901,1.76788,0.000636821,0.000636821,0.000636821
52,15141,0.74053,1.11126,1.34349,0.58968,0.6901,0.6701,0.51978,0.81682,0.88937,1.76675,0.000624388,0.000624388,0.000624388
53,15430.9,0.73799,1.11257,1.34338,0.59691,0.68201,0.67156,0.52109,0.81618,0.88934,1.76565,0.000611877,0.000611877,0.000611877
54,15721.7,0.73946,1.11277,1.34231,0.60138,0.68148,0.67257,0.52171,0.81552,0.88912,1.7644,0.000599295,0.000599295,0.000599295
55,16012.4,0.73361,1.10318,1.33894,0.60144,0.68249,0.67257,0.5224,0.81499,0.88851,1.76373,0.000586653,0.000586653,0.000586653
56,16303,0.72987,1.1009,1.33541,0.59928,0.68568,0.67411,0.52324,0.81468,0.88882,1.76381,0.000573958,0.000573958,0.000573958
