epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,275.967,1.13208,1.81531,1.69504,0.28876,0.70353,0.3279,0.1935,1.33891,1.75351,2.59161,0.000332872,0.000332872,0.0670457
2,540.541,1.05502,1.64149,1.61571,0.39466,0.57024,0.3681,0.24457,1.18271,1.51406,2.22859,0.000666093,0.000666093,0.0340456
3,797.024,0.99331,1.56919,1.56361,0.45009,0.52859,0.40468,0.26992,1.17736,1.39977,2.12897,0.000998867,0.000998867,0.00104504
4,1053.56,0.95858,1.52885,1.5317,0.50496,0.5888,0.46058,0.33264,1.00732,1.23338,1.93561,0.000998489,0.000998489,0.000998489
5,1309.1,0.92724,1.4804,1.50463,0.37829,0.62695,0.47066,0.34327,0.97127,1.16603,1.92396,0.000997316,0.000997316,0.000997316
6,1565.68,0.9155,1.45764,1.49537,0.52437,0.58282,0.47343,0.34619,0.96345,1.199,1.8917,0.000995808,0.000995808,0.000995808
7,1822.11,0.89607,1.43013,1.47893,0.4464,0.58969,0.48757,0.35692,0.97409,1.18256,1.92653,0.000993967,0.000993967,0.000993967
8,2078.99,0.88921,1.41298,1.47231,0.46675,0.60061,0.51663,0.38431,0.91431,1.10773,1.85801,0.000991795,0.000991795,0.000991795
9,2335.19,0.8815,1.39412,1.46436,0.45188,0.63099,0.51636,0.38754,0.91433,1.08825,1.87598,0.000989292,0.000989292,0.000989292
10,2591.4,0.86928,1.38398,1.45493,0.4364,0.64185,0.51465,0.3873,0.92788,1.08362,1.88418,0.000986461,0.000986461,0.000986461
11,2847.49,0.86162,1.3817,1.44845,0.44061,0.63885,0.53504,0.40663,0.88276,1.05302,1.81557,0.000983304,0.000983304,0.000983304
12,3103.63,0.85599,1.36581,1.44502,0.48442,0.62845,0.54301,0.41171,0.90866,1.03748,1.8658,0.000979822,0.000979822,0.000979822
13,3359.78,0.84688,1.34536,1.43604,0.46397,0.62895,0.55756,0.42321,0.88168,1.01289,1.80877,0.000976018,0.000976018,0.000976018
14,3616.28,0.84258,1.33747,1.43269,0.52922,0.61386,0.55833,0.42535,0.86577,1.0164,1.7638,0.000971894,0.000971894,0.000971894
15,3873.23,0.83713,1.3256,1.4281,0.60867,0.56965,0.55822,0.42585,0.88749,1.0177,1.83297,0.000967454,0.000967454,0.000967454
16,4129.58,0.83514,1.32409,1.42529,0.4957,0.63803,0.57493,0.4417,0.85253,0.98057,1.79394,0.000962701,0.000962701,0.000962701
17,4386.11,0.82815,1.31802,1.42168,0.49591,0.649,0.57921,0.44404,0.86225,0.98109,1.76811,0.000957637,0.000957637,0.000957637
18,4642.71,0.82503,1.29835,1.41765,0.49695,0.64999,0.58077,0.44091,0.87071,0.99496,1.81708,0.000952267,0.000952267,0.000952267
19,4899.38,0.82062,1.29416,1.41192,0.52759,0.6205,0.5886,0.45297,0.84411,0.96391,1.76145,0.000946593,0.000946593,0.000946593
20,5156,0.8142,1.29107,1.41018,0.50334,0.66913,0.59424,0.45985,0.83385,0.95602,1.77812,0.00094062,0.00094062,0.00094062
21,5412.68,0.8126,1.2798,1.40823,0.52842,0.64998,0.60504,0.4605,0.86515,0.95522,1.81262,0.000934352,0.000934352,0.000934352
22,5669.91,0.80764,1.28108,1.40363,0.5062,0.65674,0.60041,0.46136,0.84282,0.94296,1.79182,0.000927794,0.000927794,0.000927794
23,5926.93,0.80973,1.2739,1.40388,0.52012,0.6672,0.61151,0.47054,0.84611,0.93554,1.79053,0.000920949,0.000920949,0.000920949
24,6183.7,0.7997,1.26274,1.39875,0.57073,0.61932,0.61229,0.47406,0.83188,0.93033,1.77239,0.000913822,0.000913822,0.000913822
25,6440.98,0.80267,1.26125,1.39893,0.54136,0.66458,0.62183,0.48009,0.83448,0.92306,1.78203,0.000906418,0.000906418,0.000906418
26,6697.79,0.79864,1.24839,1.39461,0.56599,0.63705,0.62622,0.48493,0.82964,0.91706,1.74633,0.000898743,0.000898743,0.000898743
27,6954.83,0.79487,1.24725,1.3923,0.54439,0.67307,0.63034,0.48811,0.82553,0.91354,1.75381,0.000890802,0.000890802,0.000890802
28,7211.77,0.79202,1.24685,1.39016,0.55125,0.65914,0.63179,0.48976,0.82591,0.90894,1.77959,0.000882599,0.000882599,0.000882599
29,7468.61,0.78629,1.22937,1.38655,0.57209,0.64963,0.63332,0.49386,0.81505,0.91127,1.74147,0.000874141,0.000874141,0.000874141
30,7726.36,0.78798,1.2304,1.38668,0.57151,0.65139,0.63728,0.49554,0.81477,0.90583,1.73544,0.000865433,0.000865433,0.000865433
31,7983.34,0.78665,1.22719,1.38519,0.59666,0.6194,0.63818,0.49514,0.81986,0.90722,1.77077,0.000856482,0.000856482,0.000856482
32,8240.4,0.78575,1.21879,1.38479,0.58695,0.64284,0.64092,0.49722,0.8172,0.90591,1.75515,0.000847294,0.000847294,0.000847294
33,8498.99,0.78502,1.21572,1.38351,0.59024,0.63777,0.64437,0.4998,0.81677,0.90627,1.76605,0.000837874,0.000837874,0.000837874
34,8757.18,0.7794,1.21652,1.37979,0.58283,0.65179,0.64427,0.50068,0.81577,0.90194,1.76046,0.00082823,0.00082823,0.00082823
35,9015.21,0.77773,1.20964,1.37757,0.55983,0.6918,0.64992,0.5051,0.81477,0.89903,1.76416,0.000818367,0.000818367,0.000818367
36,9276.09,0.77313,1.19099,1.37267,0.57719,0.67643,0.65299,0.50826,0.81446,0.89883,1.76306,0.000808293,0.000808293,0.000808293
37,9532.62,0.77034,1.20152,1.37213,0.58698,0.66186,0.65628,0.51106,0.81385,0.89632,1.75981,0.000798015,0.000798015,0.000798015
38,9789.15,0.76693,1.19074,1.3707,0.58838,0.66916,0.6568,0.51188,0.81061,0.89589,1.75963,0.000787539,0.000787539,0.000787539
39,10046.1,0.76509,1.17956,1.36785,0.60202,0.64567,0.65856,0.51299,0.81048,0.89329,1.75782,0.000776873,0.000776873,0.000776873
40,10302.9,0.76957,1.18129,1.37139,0.61501,0.63419,0.66169,0.5159,0.80875,0.89303,1.75876,0.000766024,0.000766024,0.000766024
41,10559.9,0.76723,1.17422,1.36963,0.61784,0.62965,0.66294,0.51624,0.80999,0.89244,1.7586,0.000755,0.000755,0.000755
42,10816.5,0.75952,1.17236,1.36147,0.62181,0.62798,0.6637,0.51642,0.80979,0.89209,1.7524,0.000743808,0.000743808,0.000743808
43,11072.9,0.75933,1.16478,1.36265,0.63704,0.61854,0.66493,0.51756,0.8088,0.88966,1.74516,0.000732455,0.000732455,0.000732455
44,11329.7,0.75554,1.16006,1.36039,0.63349,0.6267,0.66668,0.51913,0.80748,0.88767,1.74238,0.00072095,0.00072095,0.00072095
45,11586.5,0.75772,1.16168,1.36148,0.62917,0.6288,0.66741,0.52076,0.80566,0.88691,1.74011,0.000709301,0.000709301,0.000709301
46,11843.9,0.75055,1.14611,1.35508,0.62275,0.63495,0.66884,0.52147,0.80383,0.88681,1.7383,0.000697515,0.000697515,0.000697515
47,12100.9,0.74891,1.14251,1.35315,0.62432,0.63456,0.66991,0.52298,0.80334,0.88675,1.73977,0.0006856,0.0006856,0.0006856
48,12358,0.74485,1.13794,1.35118,0.62053,0.6375,0.67027,0.52362,0.80235,0.88712,1.73935,0.000673565,0.000673565,0.000673565
49,12614.7,0.74916,1.13247,1.35421,0.61807,0.64603,0.67145,0.5244,0.80208,0.88737,1.74042,0.000661418,0.000661418,0.000661418
50,12871.6,0.74178,1.12985,1.35012,0.58723,0.67922,0.67282,0.52553,0.80226,0.88804,1.7405,0.000649168,0.000649168,0.000649168
51,13128.3,0.74346,1.13428,1.34897,0.59594,0.67527,0.67341,0.52602,0.80202,0.8881,1.74123,0.000636821,0.000636821,0.000636821
52,13385,0.74242,1.11638,1.34671,0.60912,0.66078,0.67537,0.52776,0.80137,0.88803,1.7414,0.000624388,0.000624388,0.000624388
53,13641.9,0.73904,1.1173,1.34677,0.61748,0.66017,0.67563,0.52823,0.80025,0.88823,1.74119,0.000611877,0.000611877,0.000611877
54,13899,0.74167,1.11854,1.34636,0.61931,0.6552,0.67628,0.52892,0.79961,0.88749,1.74126,0.000599295,0.000599295,0.000599295
55,14156.2,0.73464,1.1084,1.34223,0.62149,0.65451,0.67679,0.52938,0.79909,0.88773,1.74106,0.000586653,0.000586653,0.000586653
56,14413.4,0.73134,1.10441,1.33872,0.61698,0.6591,0.67783,0.52998,0.79867,0.88763,1.74132,0.000573958,0.000573958,0.000573958
57,14670.8,0.7328,1.10131,1.33955,0.61486,0.66126,0.679,0.53104,0.79828,0.88757,1.741,0.000561219,0.000561219,0.000561219
58,14928.3,0.73237,1.09271,1.34076,0.60519,0.67227,0.67973,0.53139,0.79808,0.88849,1.74106,0.000548445,0.000548445,0.000548445
59,15185.6,0.72946,1.09381,1.33618,0.61335,0.66806,0.6804,0.53254,0.79733,0.88884,1.73991,0.000535645,0.000535645,0.000535645
60,15443,0.72567,1.08266,1.33391,0.6176,0.66931,0.68046,0.53247,0.79676,0.88972,1.73962,0.000522827,0.000522827,0.000522827
61,15700,0.72439,1.08435,1.33397,0.62142,0.66259,0.68145,0.533,0.79634,0.88985,1.73913,0.00051,0.00051,0.00051
62,15957.9,0.72751,1.07256,1.33683,0.62233,0.66463,0.68316,0.53414,0.79578,0.89007,1.73868,0.000497173,0.000497173,0.000497173
63,16214.8,0.72127,1.06126,1.32882,0.63062,0.65531,0.68374,0.53466,0.79538,0.8903,1.73862,0.000484355,0.000484355,0.000484355
64,16471.9,0.71752,1.0655,1.32857,0.62997,0.65616,0.68462,0.53607,0.79505,0.89091,1.73927,0.000471555,0.000471555,0.000471555
65,16729.1,0.71685,1.06,1.32848,0.63184,0.65546,0.68539,0.53676,0.79453,0.89204,1.73941,0.000458781,0.000458781,0.000458781
66,16986.1,0.71259,1.05859,1.32407,0.61118,0.67802,0.68581,0.53721,0.79407,0.8923,1.73918,0.000446042,0.000446042,0.000446042
67,17243,0.71184,1.05424,1.32423,0.61273,0.67732,0.68606,0.53753,0.79321,0.89289,1.73799,0.000433347,0.000433347,0.000433347
68,17499.9,0.71016,1.04666,1.32389,0.61458,0.67813,0.68669,0.53794,0.79269,0.89398,1.73788,0.000420705,0.000420705,0.000420705
69,17757.1,0.70648,1.03981,1.31998,0.59887,0.69403,0.68748,0.53873,0.79205,0.8949,1.73809,0.000408123,0.000408123,0.000408123
70,18014,0.71063,1.04201,1.32183,0.59958,0.6931,0.68813,0.53941,0.79109,0.8958,1.73791,0.000395612,0.000395612,0.000395612
71,18271.1,0.70811,1.03461,1.31997,0.61187,0.6816,0.68878,0.54022,0.79043,0.8967,1.73764,0.000383179,0.000383179,0.000383179
72,18528,0.70668,1.02395,1.31928,0.61792,0.67755,0.68957,0.54051,0.78991,0.89846,1.7378,0.000370832,0.000370832,0.000370832
