epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,213.013,1.07206,1.98641,1.64492,0.34138,0.52991,0.2193,0.10876,1.46124,2.09508,2.72086,0.000332872,0.000332872,0.0670457
2,410.737,1.01838,1.64137,1.58415,0.38763,0.61537,0.3571,0.22457,1.23137,1.48047,2.31909,0.000666093,0.000666093,0.0340456
3,597.728,0.98337,1.56625,1.55581,0.39739,0.59888,0.36584,0.24416,1.20914,1.47887,2.20507,0.000998867,0.000998867,0.00104504
4,785.374,0.95265,1.5312,1.52682,0.33425,0.59449,0.42661,0.28387,1.1446,1.2566,2.21547,0.000998489,0.000998489,0.000998489
5,972.111,0.92991,1.48451,1.50817,0.34595,0.60922,0.4429,0.30365,1.0831,1.22547,2.13129,0.000997316,0.000997316,0.000997316
6,1161.25,0.91882,1.46319,1.49817,0.53486,0.5678,0.45457,0.32746,1.00075,1.22928,1.98953,0.000995808,0.000995808,0.000995808
7,1349.68,0.90429,1.44532,1.48558,0.48577,0.57598,0.44833,0.33871,0.9196,1.20372,1.85465,0.000993967,0.000993967,0.000993967
8,1538.98,0.89717,1.43198,1.47797,0.54511,0.57812,0.49345,0.36127,0.95197,1.10545,1.9444,0.000991795,0.000991795,0.000991795
9,1728.69,0.88606,1.41098,1.47061,0.37528,0.6245,0.48924,0.36384,0.93783,1.12945,1.8713,0.000989292,0.000989292,0.000989292
10,1918.31,0.88171,1.40508,1.4645,0.53751,0.56643,0.49105,0.37118,0.91073,1.08555,1.82043,0.000986461,0.000986461,0.000986461
11,2107.99,0.87307,1.40177,1.4569,0.54244,0.58005,0.49747,0.3706,0.92675,1.1114,1.8777,0.000983304,0.000983304,0.000983304
12,2297.51,0.86617,1.39056,1.45191,0.57406,0.57382,0.50775,0.38766,0.8983,1.08999,1.8135,0.000979822,0.000979822,0.000979822
13,2487.35,0.85788,1.3723,1.44545,0.42551,0.62418,0.51901,0.38574,0.9187,1.06635,1.88651,0.000976018,0.000976018,0.000976018
14,2677.54,0.85858,1.37061,1.44492,0.57211,0.5799,0.52035,0.38997,0.91721,1.03877,1.87552,0.000971894,0.000971894,0.000971894
15,2866.94,0.85345,1.35526,1.44021,0.57036,0.58233,0.53394,0.403,0.89006,1.0344,1.82095,0.000967454,0.000967454,0.000967454
16,3057.39,0.85319,1.35947,1.43936,0.46065,0.65659,0.5336,0.40703,0.88191,1.03687,1.82928,0.000962701,0.000962701,0.000962701
17,3248.08,0.84576,1.34894,1.43618,0.55043,0.60399,0.54049,0.4126,0.86942,1.04864,1.7863,0.000957637,0.000957637,0.000957637
18,3438.16,0.842,1.33688,1.4309,0.50024,0.65171,0.54842,0.41693,0.85842,1.02405,1.79272,0.000952267,0.000952267,0.000952267
19,3628.2,0.83706,1.33326,1.4246,0.58468,0.60798,0.55645,0.42573,0.85547,0.99281,1.77023,0.000946593,0.000946593,0.000946593
20,3818.49,0.83985,1.33128,1.42859,0.47533,0.66093,0.55659,0.42663,0.84907,0.98575,1.76476,0.00094062,0.00094062,0.00094062
21,4008.55,0.83231,1.32645,1.4233,0.47783,0.62894,0.55977,0.42707,0.87762,0.97757,1.78861,0.000934352,0.000934352,0.000934352
