Model,Version,Size,Class,Precision,Recall,F1-Score,mAP50,mAP50-95
YOLOv10n,10,n,anger,0.5769,0.6860,0.6267,0.6678,0.5729
YOLOv10n,10,n,content,0.7070,0.7083,0.7077,0.7484,0.6958
YOLOv10n,10,n,disgust,0.5924,0.5288,0.5588,0.6568,0.5855
YOLOv10n,10,n,fear,0.7233,0.6400,0.6791,0.7497,0.6735
YOLOv10n,10,n,happy,0.6691,0.9389,0.7814,0.9077,0.8391
YOLOv10n,10,n,neutral,0.4833,0.8154,0.6069,0.7083,0.6424
YOLOv10n,10,n,sad,0.5552,0.5091,0.5311,0.5771,0.5139
YOLOv10n,10,n,surprise,0.6215,0.7677,0.6869,0.7239,0.6518
YOLOv10s,10,s,anger,0.5490,0.5950,0.5711,0.6029,0.5322
YOLOv10s,10,s,content,0.6894,0.7027,0.6960,0.7453,0.6996
YOLOv10s,10,s,disgust,0.6071,0.5192,0.5597,0.5960,0.5459
YOLOv10s,10,s,fear,0.7188,0.6648,0.6907,0.7477,0.6829
YOLOv10s,10,s,happy,0.6777,0.9196,0.7804,0.8828,0.8213
YOLOv10s,10,s,neutral,0.4679,0.7913,0.5880,0.6678,0.6087
YOLOv10s,10,s,sad,0.5647,0.5898,0.5770,0.6440,0.5776
YOLOv10s,10,s,surprise,0.6150,0.7778,0.6869,0.7320,0.6639
YOLOv10m,10,m,anger,0.5415,0.6343,0.5842,0.6312,0.5350
YOLOv10m,10,m,content,0.6313,0.6850,0.6571,0.7369,0.6893
YOLOv10m,10,m,disgust,0.5980,0.6009,0.5995,0.6357,0.5952
YOLOv10m,10,m,fear,0.6760,0.6800,0.6780,0.7319,0.6657
YOLOv10m,10,m,happy,0.6792,0.9107,0.7781,0.8829,0.8272
YOLOv10m,10,m,neutral,0.4805,0.8077,0.6026,0.6914,0.6335
YOLOv10m,10,m,sad,0.5058,0.7182,0.5935,0.6316,0.5752
YOLOv10m,10,m,surprise,0.6205,0.7980,0.6981,0.6974,0.6311
YOLOv10l,10,l,anger,0.5524,0.6116,0.5805,0.6326,0.5440
YOLOv10l,10,l,content,0.6291,0.6501,0.6394,0.7200,0.6716
YOLOv10l,10,l,disgust,0.7306,0.4693,0.5715,0.6143,0.5659
YOLOv10l,10,l,fear,0.6818,0.6643,0.6729,0.7302,0.6669
YOLOv10l,10,l,happy,0.7133,0.8839,0.7895,0.8820,0.8162
YOLOv10l,10,l,neutral,0.5498,0.7385,0.6303,0.6537,0.6040
YOLOv10l,10,l,sad,0.6246,0.4909,0.5497,0.6005,0.5434
YOLOv10l,10,l,surprise,0.6369,0.7071,0.6701,0.7363,0.6707
YOLOv11n,11,n,anger,0.5771,0.6033,0.5899,0.6772,0.5715
YOLOv11n,11,n,content,0.6824,0.6667,0.6744,0.7740,0.7256
YOLOv11n,11,n,disgust,0.6524,0.5577,0.6013,0.6327,0.5742
YOLOv11n,11,n,fear,0.7185,0.6500,0.6825,0.7395,0.6653
YOLOv11n,11,n,happy,0.6683,0.9464,0.7834,0.9024,0.8452
YOLOv11n,11,n,neutral,0.4800,0.7769,0.5934,0.7264,0.6598
