epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.8895,1.90617,4.53235,2.97501,0.65701,0.09122,0.02555,0.01119,3.21228,24.6154,4.7934,0.0671692,0.000331624,0.000331624
2,162.536,1.8487,3.57667,2.86673,0.23292,0.64092,0.26359,0.19531,1.79346,3.70879,3.38301,0.0341691,0.000664846,0.000664846
3,224.313,1.7196,3.39728,2.74854,0.26459,0.6061,0.33995,0.2459,1.94778,3.19368,3.64633,0.00116856,0.00099762,0.00099762
4,285.821,1.6604,3.31496,2.71641,0.28824,0.57755,0.33638,0.26407,1.66091,3.62922,3.1066,0.000998489,0.000998489,0.000998489
5,347.344,1.62024,3.21899,2.67548,0.32055,0.6346,0.39008,0.312,1.4959,2.95326,2.96905,0.000997316,0.000997316,0.000997316
6,408.661,1.50482,3.11429,2.5916,0.35521,0.63554,0.4144,0.345,1.32584,2.97608,2.73352,0.000995808,0.000995808,0.000995808
7,470.247,1.46404,3.05302,2.56368,0.32737,0.62884,0.39468,0.33562,1.20724,2.95843,2.66226,0.000993967,0.000993967,0.000993967
8,532.343,1.44215,3.00215,2.53852,0.31826,0.66267,0.43053,0.36614,1.2092,3.22086,2.58018,0.000991795,0.000991795,0.000991795
9,593.833,1.42522,2.95448,2.52593,0.42259,0.6791,0.49852,0.42131,1.27834,2.43613,2.61808,0.000989292,0.000989292,0.000989292
10,655.197,1.39575,2.9048,2.51052,0.39401,0.63411,0.50177,0.43381,1.14046,2.39418,2.53425,0.000986461,0.000986461,0.000986461
11,716.695,1.40844,2.86111,2.51303,0.43519,0.63544,0.52074,0.44531,1.21885,2.29413,2.58183,0.000983304,0.000983304,0.000983304
12,778.208,1.36091,2.83694,2.4796,0.4229,0.67684,0.527,0.44975,1.21443,2.40098,2.5664,0.000979822,0.000979822,0.000979822
13,839.741,1.33878,2.81756,2.46496,0.40466,0.63745,0.52883,0.46231,1.08018,2.54899,2.43517,0.000976018,0.000976018,0.000976018
14,901.176,1.34381,2.76799,2.46729,0.41462,0.65905,0.5543,0.47215,1.21696,2.41672,2.5401,0.000971894,0.000971894,0.000971894
15,962.548,1.30443,2.74733,2.44157,0.48122,0.63631,0.58052,0.50209,1.12151,2.16728,2.48972,0.000967454,0.000967454,0.000967454
16,1023.96,1.28311,2.74013,2.43006,0.47414,0.6375,0.56065,0.48679,1.08133,2.42378,2.42102,0.000962701,0.000962701,0.000962701
17,1085.29,1.28275,2.69191,2.43074,0.49042,0.68258,0.58953,0.50865,1.16795,2.11724,2.52645,0.000957637,0.000957637,0.000957637
18,1146.73,1.29066,2.70372,2.43096,0.49608,0.66287,0.60349,0.53396,1.01378,2.06274,2.36546,0.000952267,0.000952267,0.000952267
19,1208.2,1.27592,2.68826,2.41834,0.49793,0.63026,0.58686,0.51103,1.09227,2.20256,2.43411,0.000946593,0.000946593,0.000946593
