epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.7335,1.73113,5.06098,2.83777,0.25115,0.16804,0.15175,0.08843,2.91259,4.33028,5.43692,0.0671692,0.000331624,0.000331624
2,108.005,1.67988,3.76261,2.7357,0.20229,0.51538,0.24804,0.19618,1.51342,3.43322,2.96043,0.0341691,0.000664846,0.000664846
3,144.872,1.61903,3.46906,2.66827,0.2421,0.54488,0.30899,0.20135,2.55206,3.17167,4.66498,0.00116856,0.00099762,0.00099762
4,181.807,1.58589,3.3237,2.65161,0.30526,0.53466,0.35971,0.26152,1.97197,3.04005,3.49698,0.000998489,0.000998489,0.000998489
5,219.088,1.55443,3.19207,2.62134,0.35931,0.60298,0.41645,0.33749,1.48144,2.62563,2.81474,0.000997316,0.000997316,0.000997316
6,255.924,1.45876,3.08215,2.54797,0.42515,0.61384,0.46446,0.36965,1.63571,2.64532,3.06567,0.000995808,0.000995808,0.000995808
7,292.663,1.42022,3.01505,2.52239,0.41585,0.63953,0.49633,0.42307,1.24442,2.45426,2.58865,0.000993967,0.000993967,0.000993967
8,329.219,1.40861,2.94704,2.50786,0.3876,0.62099,0.42395,0.35484,1.30705,2.83662,2.70956,0.000991795,0.000991795,0.000991795
9,366.36,1.40408,2.91213,2.50577,0.38853,0.66605,0.48576,0.40576,1.21511,2.57909,2.55069,0.000989292,0.000989292,0.000989292
10,403.043,1.37168,2.88168,2.48846,0.36122,0.63341,0.48052,0.41127,1.19709,2.62032,2.58781,0.000986461,0.000986461,0.000986461
11,439.865,1.38632,2.83612,2.48969,0.4382,0.62669,0.5348,0.46912,1.0901,2.28074,2.45036,0.000983304,0.000983304,0.000983304
12,476.682,1.33844,2.81568,2.46268,0.4564,0.64736,0.55006,0.47587,1.14637,2.23282,2.55463,0.000979822,0.000979822,0.000979822
13,513.708,1.32076,2.77819,2.44182,0.34789,0.61572,0.47953,0.41506,1.11175,2.94826,2.50801,0.000976018,0.000976018,0.000976018
14,550.525,1.32998,2.74181,2.45118,0.36853,0.65555,0.53396,0.45047,1.29884,2.59655,2.60689,0.000971894,0.000971894,0.000971894
15,587.402,1.29816,2.73448,2.43157,0.39986,0.64138,0.53104,0.45792,1.127,2.55936,2.48693,0.000967454,0.000967454,0.000967454
16,624.32,1.28817,2.72106,2.42419,0.49223,0.65685,0.58259,0.49719,1.25162,2.20651,2.57954,0.000962701,0.000962701,0.000962701
17,661.032,1.27375,2.68619,2.41746,0.4848,0.65723,0.58378,0.50323,1.10836,2.28601,2.47082,0.000957637,0.000957637,0.000957637
18,697.731,1.28783,2.68619,2.42177,0.52132,0.65238,0.59184,0.50973,1.1903,2.22566,2.4967,0.000952267,0.000952267,0.000952267
19,734.719,1.27648,2.66963,2.4137,0.48973,0.62074,0.58106,0.51068,1.02987,2.31961,2.35699,0.000946593,0.000946593,0.000946593
20,771.599,1.26959,2.64531,2.41072,0.5147,0.66829,0.62812,0.54582,1.11404,2.03811,2.43696,0.00094062,0.00094062,0.00094062
21,808.582,1.24641,2.60997,2.39381,0.54337,0.66414,0.6105,0.53679,1.03412,2.06355,2.35936,0.000934352,0.000934352,0.000934352
22,845.16,1.26216,2.6032,2.40364,0.56384,0.66879,0.63047,0.54761,1.1168,2.10422,2.45707,0.000927794,0.000927794,0.000927794
