epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.173,0.9599,1.99236,1.4861,0.14901,0.4366,0.22425,0.13935,1.21311,2.41906,2.45018,0.0671692,0.000331624,0.000331624
2,175.942,0.91083,1.78022,1.43351,0.18269,0.65387,0.29335,0.22156,0.86964,2.01596,1.70265,0.0341691,0.000664846,0.000664846
3,248.814,0.84414,1.7058,1.37282,0.18646,0.66287,0.30616,0.19372,1.12884,1.89888,2.03399,0.00116856,0.00099762,0.00099762
4,320.778,0.81536,1.67094,1.35493,0.20756,0.74134,0.33531,0.25589,0.84176,1.72682,1.60461,0.000998489,0.000998489,0.000998489
5,393.606,0.78585,1.62566,1.32697,0.27681,0.67053,0.41635,0.34737,0.63332,1.42925,1.36489,0.000997316,0.000997316,0.000997316
6,465.877,0.73803,1.5771,1.29033,0.287,0.63986,0.40723,0.29772,0.96526,1.49752,1.77828,0.000995808,0.000995808,0.000995808
7,538.681,0.71389,1.55468,1.27481,0.30384,0.70836,0.36611,0.31042,0.63444,1.58751,1.31473,0.000993967,0.000993967,0.000993967
8,610.735,0.71235,1.53015,1.27073,0.31903,0.67361,0.41226,0.35059,0.6055,1.55299,1.30109,0.000991795,0.000991795,0.000991795
9,683.895,0.70241,1.51438,1.26345,0.34874,0.67743,0.43555,0.36857,0.60427,1.43538,1.32543,0.000989292,0.000989292,0.000989292
10,756.353,0.69359,1.50421,1.25499,0.27651,0.69931,0.43338,0.37172,0.57225,1.41642,1.25287,0.000986461,0.000986461,0.000986461
11,829.356,0.69294,1.46785,1.25063,0.3153,0.6655,0.46602,0.39323,0.63352,1.4159,1.32279,0.000983304,0.000983304,0.000983304
12,901.665,0.66748,1.46203,1.23536,0.40162,0.7146,0.5246,0.45199,0.55456,1.18486,1.24414,0.000979822,0.000979822,0.000979822
13,974.532,0.66228,1.44589,1.23055,0.39368,0.73507,0.52581,0.46229,0.53663,1.17604,1.21271,0.000976018,0.000976018,0.000976018
14,1046.65,0.67031,1.43843,1.23552,0.30883,0.66273,0.46393,0.39831,0.57028,1.5067,1.257,0.000971894,0.000971894,0.000971894
15,1119.28,0.64831,1.42402,1.22158,0.55234,0.56281,0.52751,0.44958,0.59345,1.17548,1.28705,0.000967454,0.000967454,0.000967454
16,1191.34,0.63474,1.41482,1.21317,0.40064,0.66967,0.56439,0.49749,0.53287,1.11657,1.23234,0.000962701,0.000962701,0.000962701
17,1264.39,0.63078,1.39394,1.20964,0.44256,0.64598,0.53598,0.44781,0.62146,1.18939,1.30989,0.000957637,0.000957637,0.000957637
18,1336.53,0.63926,1.39763,1.21363,0.47745,0.67291,0.5754,0.50043,0.54072,1.11763,1.20417,0.000952267,0.000952267,0.000952267
19,1409.75,0.62782,1.39112,1.2056,0.38815,0.69812,0.54155,0.47843,0.51111,1.17102,1.18627,0.000946593,0.000946593,0.000946593
20,1482.04,0.62249,1.36983,1.20453,0.41662,0.7107,0.55718,0.48364,0.54012,1.17426,1.21272,0.00094062,0.00094062,0.00094062
21,1554.81,0.62139,1.35482,1.19812,0.44644,0.71553,0.57472,0.50396,0.52484,1.15647,1.1981,0.000934352,0.000934352,0.000934352
22,1627.15,0.62301,1.35426,1.20339,0.43572,0.66482,0.56325,0.48377,0.57289,1.28695,1.29106,0.000927794,0.000927794,0.000927794
23,1700.03,0.60664,1.33905,1.19017,0.4703,0.67854,0.60796,0.52495,0.55375,1.10664,1.24935,0.000920949,0.000920949,0.000920949
24,1772.38,0.61102,1.3366,1.19231,0.51122,0.67503,0.62139,0.54858,0.51084,1.0276,1.19322,0.000913822,0.000913822,0.000913822
25,1845.36,0.6061,1.32624,1.19223,0.46961,0.66011,0.5863,0.5153,0.51669,1.12152,1.19557,0.000906418,0.000906418,0.000906418
26,1917.57,0.60252,1.3153,1.18529,0.55426,0.6886,0.64823,0.56558,0.53589,1.02507,1.22229,0.000898743,0.000898743,0.000898743
27,1990.87,0.60071,1.30679,1.18243,0.53075,0.69041,0.65617,0.58296,0.49678,1.00741,1.1656,0.000890802,0.000890802,0.000890802
28,2063.24,0.59757,1.30426,1.18098,0.54554,0.68065,0.64298,0.57144,0.49519,1.02882,1.16178,0.000882599,0.000882599,0.000882599
29,2136,0.59065,1.28681,1.17885,0.57038,0.70238,0.68374,0.60301,0.50712,0.95715,1.17925,0.000874141,0.000874141,0.000874141
30,2208.53,0.5904,1.28192,1.17747,0.55743,0.70882,0.66917,0.58686,0.52787,0.9961,1.21815,0.000865433,0.000865433,0.000865433
31,2281.27,0.58714,1.27883,1.17462,0.58936,0.70002,0.68371,0.60963,0.48133,0.94231,1.15918,0.000856482,0.000856482,0.000856482
32,2353.53,0.58616,1.26539,1.17079,0.53613,0.70188,0.65417,0.5857,0.48964,1.0216,1.15816,0.000847294,0.000847294,0.000847294
33,2426.23,0.57964,1.2689,1.16672,0.62016,0.66333,0.68822,0.61292,0.49316,0.94495,1.15207,0.000837874,0.000837874,0.000837874
34,2498.48,0.58348,1.25182,1.17343,0.58571,0.69548,0.68653,0.59974,0.53504,0.95688,1.21509,0.00082823,0.00082823,0.00082823
35,2571.23,0.58085,1.24958,1.17244,0.58653,0.68958,0.69221,0.6125,0.5076,0.96344,1.17363,0.000818367,0.000818367,0.000818367
36,2643.25,0.57302,1.24168,1.16517,0.55138,0.72294,0.69744,0.62621,0.47959,0.95555,1.14528,0.000808293,0.000808293,0.000808293
37,2716.26,0.56122,1.22927,1.15855,0.60046,0.69701,0.69184,0.61892,0.47959,0.96212,1.14327,0.000798015,0.000798015,0.000798015
38,2788.39,0.57312,1.23233,1.16412,0.62619,0.68085,0.71558,0.63686,0.48531,0.89924,1.15035,0.000787539,0.000787539,0.000787539
39,2861.43,0.55938,1.21776,1.1541,0.61229,0.67734,0.70292,0.6271,0.47953,0.94958,1.14963,0.000776873,0.000776873,0.000776873
40,2933.47,0.56283,1.21132,1.15592,0.61075,0.69661,0.71241,0.64076,0.46142,0.91625,1.13249,0.000766024,0.000766024,0.000766024
41,3006.35,0.55823,1.19543,1.15383,0.63192,0.68957,0.72053,0.64899,0.4601,0.91977,1.12417,0.000755,0.000755,0.000755
42,3078.7,0.56285,1.21046,1.15542,0.59618,0.71724,0.71509,0.64005,0.47834,0.91378,1.14558,0.000743808,0.000743808,0.000743808
43,3151.5,0.54649,1.18285,1.14804,0.64684,0.69762,0.72962,0.65382,0.47004,0.90889,1.1376,0.000732455,0.000732455,0.000732455
44,3223.89,0.55647,1.18789,1.15266,0.62006,0.7294,0.73245,0.65588,0.47072,0.89008,1.13931,0.00072095,0.00072095,0.00072095
45,3296.87,0.55637,1.18716,1.15354,0.66015,0.69689,0.73875,0.66575,0.45903,0.86722,1.12991,0.000709301,0.000709301,0.000709301
46,3369.19,0.5516,1.17614,1.14705,0.6614,0.71777,0.74349,0.6684,0.46778,0.87109,1.13347,0.000697515,0.000697515,0.000697515
47,3442.21,0.53549,1.16221,1.13836,0.64378,0.69116,0.73453,0.65945,0.46862,0.87734,1.13353,0.0006856,0.0006856,0.0006856
48,3514.52,0.54422,1.15775,1.14667,0.67673,0.67391,0.73615,0.66324,0.4582,0.86935,1.12731,0.000673565,0.000673565,0.000673565
49,3587.44,0.54539,1.15613,1.1423,0.67739,0.69495,0.74939,0.67381,0.45393,0.85183,1.1192,0.000661418,0.000661418,0.000661418
50,3659.78,0.54337,1.15952,1.14595,0.62745,0.74718,0.74233,0.66684,0.46735,0.85389,1.14077,0.000649168,0.000649168,0.000649168
51,3732.62,0.53327,1.1399,1.13867,0.67442,0.69783,0.75088,0.67972,0.44404,0.8341,1.10588,0.000636821,0.000636821,0.000636821
52,3804.92,0.53918,1.14752,1.13942,0.64959,0.7078,0.74584,0.67157,0.45259,0.84419,1.11987,0.000624388,0.000624388,0.000624388
53,3877.64,0.53186,1.11894,1.13403,0.68684,0.71227,0.75515,0.68313,0.45297,0.83331,1.11643,0.000611877,0.000611877,0.000611877
54,3949.72,0.53309,1.11999,1.13569,0.654,0.71993,0.75458,0.68054,0.45953,0.83151,1.11945,0.000599295,0.000599295,0.000599295
55,4022.29,0.5236,1.11389,1.12947,0.6777,0.70064,0.74908,0.67763,0.45258,0.84788,1.1102,0.000586653,0.000586653,0.000586653
56,4094.35,0.52455,1.11326,1.12701,0.68336,0.69332,0.75389,0.68097,0.45544,0.85015,1.11656,0.000573958,0.000573958,0.000573958
57,4167.01,0.51993,1.10907,1.12825,0.68132,0.69818,0.76077,0.69152,0.44584,0.83023,1.10602,0.000561219,0.000561219,0.000561219
58,4239.26,0.51764,1.10285,1.12746,0.66081,0.72057,0.75798,0.68442,0.45892,0.83383,1.117,0.000548445,0.000548445,0.000548445
59,4312.08,0.5267,1.11079,1.13447,0.67633,0.69334,0.75509,0.68326,0.45226,0.83798,1.11005,0.000535645,0.000535645,0.000535645
60,4384.17,0.51518,1.07759,1.12316,0.68218,0.69544,0.75849,0.68489,0.45374,0.842,1.11167,0.000522827,0.000522827,0.000522827
61,4456.82,0.51879,1.09627,1.13009,0.68348,0.70445,0.75481,0.6804,0.45837,0.86868,1.11783,0.00051,0.00051,0.00051
62,4529,0.51341,1.07654,1.12288,0.677,0.72291,0.76051,0.68654,0.45817,0.83033,1.11434,0.000497173,0.000497173,0.000497173
63,4601.73,0.51598,1.07187,1.12641,0.62467,0.76399,0.75762,0.68788,0.4413,0.85279,1.09911,0.000484355,0.000484355,0.000484355
64,4673.67,0.50997,1.06449,1.12156,0.66234,0.74675,0.76615,0.69269,0.44886,0.81661,1.10253,0.000471555,0.000471555,0.000471555
65,4746.62,0.50643,1.06067,1.11753,0.66703,0.73002,0.76013,0.68874,0.44471,0.82068,1.10101,0.000458781,0.000458781,0.000458781
66,4818.42,0.49833,1.04336,1.11286,0.67477,0.7189,0.76442,0.69428,0.43445,0.83099,1.09707,0.000446042,0.000446042,0.000446042
67,4891.39,0.50309,1.0464,1.116,0.66573,0.71845,0.76467,0.6926,0.44225,0.83215,1.09819,0.000433347,0.000433347,0.000433347
68,4963.49,0.50364,1.03235,1.11672,0.67455,0.72623,0.76154,0.69112,0.44118,0.82819,1.09705,0.000420705,0.000420705,0.000420705
69,5036.08,0.49994,1.02606,1.11107,0.69482,0.72244,0.7672,0.69602,0.43904,0.81824,1.09999,0.000408123,0.000408123,0.000408123
70,5108.3,0.49825,1.02233,1.11259,0.69905,0.70563,0.77188,0.69699,0.44923,0.81194,1.10794,0.000395612,0.000395612,0.000395612
71,5181.34,0.49379,1.01996,1.10917,0.67034,0.73439,0.77022,0.69939,0.43582,0.81695,1.09887,0.000383179,0.000383179,0.000383179
72,5253.51,0.49078,1.02692,1.1103,0.67409,0.74273,0.77488,0.70371,0.43681,0.81581,1.10146,0.000370832,0.000370832,0.000370832
73,5326.4,0.49295,1.01003,1.10983,0.67781,0.72742,0.76964,0.6995,0.43499,0.82793,1.09878,0.000358582,0.000358582,0.000358582
74,5398.66,0.49315,1.0031,1.10794,0.67253,0.74631,0.7747,0.70425,0.43038,0.81067,1.09521,0.000346435,0.000346435,0.000346435
75,5471.78,0.48812,0.99445,1.10405,0.69151,0.71195,0.77371,0.70526,0.43004,0.81898,1.08808,0.0003344,0.0003344,0.0003344
76,5543.9,0.48736,0.99046,1.10337,0.68733,0.72958,0.77617,0.70636,0.42842,0.80731,1.08705,0.000322485,0.000322485,0.000322485
77,5616.62,0.48067,0.98735,1.10287,0.67489,0.73713,0.77069,0.70239,0.43081,0.81957,1.09504,0.000310699,0.000310699,0.000310699
78,5688.76,0.48006,0.98816,1.10533,0.6624,0.73699,0.77109,0.70322,0.42945,0.82824,1.09136,0.00029905,0.00029905,0.00029905
79,5761.64,0.48476,0.98477,1.10311,0.69806,0.69929,0.76745,0.69972,0.4302,0.83047,1.09129,0.000287545,0.000287545,0.000287545
80,5833.77,0.47466,0.97879,1.09961,0.66585,0.73543,0.77113,0.70226,0.43304,0.82311,1.09347,0.000276192,0.000276192,0.000276192
81,5906.6,0.47689,0.97319,1.1013,0.68175,0.73258,0.77578,0.70634,0.43236,0.81467,1.09176,0.000265,0.000265,0.000265
82,5978.76,0.46772,0.95712,1.09448,0.70471,0.70716,0.77384,0.70613,0.429,0.82323,1.09223,0.000253976,0.000253976,0.000253976
83,6051.65,0.47502,0.95795,1.09757,0.68821,0.72011,0.77494,0.70524,0.43034,0.83217,1.09656,0.000243127,0.000243127,0.000243127
84,6123.7,0.46651,0.94171,1.09294,0.68493,0.72861,0.77311,0.70413,0.43218,0.83423,1.09587,0.000232461,0.000232461,0.000232461
85,6196.55,0.47365,0.94998,1.09657,0.67166,0.74271,0.77065,0.70248,0.4296,0.84623,1.09297,0.000221985,0.000221985,0.000221985
86,6268.69,0.47269,0.94919,1.09693,0.67503,0.73533,0.7696,0.70242,0.429,0.8454,1.09174,0.000211707,0.000211707,0.000211707
87,6341.46,0.46509,0.92997,1.09272,0.6841,0.71606,0.77009,0.70169,0.43211,0.84875,1.09535,0.000201633,0.000201633,0.000201633
88,6413.68,0.46979,0.94073,1.09593,0.66849,0.72314,0.76608,0.69986,0.42829,0.85422,1.08701,0.00019177,0.00019177,0.00019177
89,6486.71,0.46149,0.93064,1.09273,0.66039,0.73886,0.76442,0.69881,0.42916,0.85359,1.088,0.000182126,0.000182126,0.000182126
90,6558.72,0.46309,0.91299,1.08787,0.66176,0.74649,0.76819,0.70281,0.42976,0.84669,1.08943,0.000172706,0.000172706,0.000172706
91,6631.41,0.46132,0.91006,1.09069,0.68605,0.72789,0.7716,0.70536,0.43024,0.84049,1.08845,0.000163518,0.000163518,0.000163518
92,6703.28,0.4625,0.91154,1.08941,0.67846,0.72739,0.76996,0.70421,0.42804,0.84553,1.08818,0.000154567,0.000154567,0.000154567
93,6776.32,0.45241,0.89643,1.08304,0.67963,0.71607,0.76737,0.70059,0.43032,0.85017,1.08696,0.000145859,0.000145859,0.000145859
94,6848.39,0.45133,0.88685,1.08334,0.64987,0.74829,0.76824,0.70123,0.4291,0.85165,1.08777,0.000137401,0.000137401,0.000137401
95,6921.06,0.45421,0.89242,1.08437,0.7043,0.69632,0.76942,0.70299,0.43007,0.85442,1.08858,0.000129198,0.000129198,0.000129198
96,6993.15,0.45087,0.886,1.08398,0.68057,0.72421,0.76786,0.70023,0.43338,0.86269,1.0903,0.000121257,0.000121257,0.000121257
