epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.2102,0.90599,1.97652,1.43587,0.23039,0.66692,0.31924,0.20742,1.07478,1.95713,1.91783,0.0671692,0.000331624,0.000331624
2,94.8518,0.83706,1.66232,1.37469,0.28263,0.60242,0.32008,0.22408,1.00967,2.00663,1.78497,0.0341691,0.000664846,0.000664846
3,132.495,0.79964,1.60297,1.34023,0.32194,0.54899,0.33551,0.2057,1.38603,1.93738,2.49584,0.00116856,0.00099762,0.00099762
4,170.001,0.77591,1.58074,1.32803,0.33185,0.69155,0.44387,0.34933,0.80036,1.43356,1.56804,0.000998489,0.000998489,0.000998489
5,207.881,0.7526,1.52752,1.3046,0.36322,0.66498,0.48737,0.39652,0.73923,1.40762,1.43373,0.000997316,0.000997316,0.000997316
6,245.473,0.71486,1.49619,1.27377,0.42392,0.63552,0.5147,0.40075,0.84743,1.3788,1.60011,0.000995808,0.000995808,0.000995808
7,282.978,0.68699,1.461,1.25575,0.39356,0.68067,0.48635,0.40648,0.66652,1.32877,1.3583,0.000993967,0.000993967,0.000993967
8,320.154,0.68505,1.43636,1.25131,0.41144,0.69561,0.4978,0.42304,0.63557,1.34948,1.33099,0.000991795,0.000991795,0.000991795
9,358.006,0.67835,1.42779,1.24538,0.39673,0.69549,0.53123,0.41594,0.79102,1.35884,1.549,0.000989292,0.000989292,0.000989292
10,395.446,0.66615,1.41818,1.23734,0.40889,0.64765,0.55261,0.47511,0.58815,1.18932,1.28425,0.000986461,0.000986461,0.000986461
11,432.895,0.67221,1.39321,1.24189,0.41244,0.69481,0.56185,0.46542,0.67956,1.21368,1.36853,0.000983304,0.000983304,0.000983304
12,470.501,0.65202,1.38954,1.22639,0.45943,0.69155,0.56196,0.47835,0.60141,1.22169,1.29069,0.000979822,0.000979822,0.000979822
13,507.934,0.63926,1.368,1.21609,0.43467,0.67045,0.57117,0.49596,0.5561,1.1306,1.22551,0.000976018,0.000976018,0.000976018
14,545.341,0.64328,1.34906,1.21927,0.40932,0.63834,0.5636,0.48429,0.58722,1.3185,1.28377,0.000971894,0.000971894,0.000971894
15,582.534,0.62426,1.34129,1.20755,0.4386,0.6796,0.59601,0.51143,0.5763,1.14404,1.26376,0.000967454,0.000967454,0.000967454
16,620.166,0.62326,1.34128,1.20512,0.47165,0.71334,0.61277,0.5215,0.61197,1.13441,1.29815,0.000962701,0.000962701,0.000962701
17,657.682,0.61755,1.31943,1.20325,0.4871,0.65348,0.58969,0.50238,0.57913,1.18302,1.25761,0.000957637,0.000957637,0.000957637
