epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.1782,0.94266,1.98387,1.46386,0.1595,0.54471,0.27905,0.20109,0.95767,2.78241,2.16711,0.0671692,0.000331624,0.000331624
2,166.308,0.89408,1.74354,1.41344,0.23229,0.60895,0.27289,0.20873,0.80112,2.05694,1.61445,0.0341691,0.000664846,0.000664846
3,245.231,0.83288,1.6632,1.36037,0.24086,0.66378,0.35302,0.23327,1.1064,1.79431,1.98604,0.00116856,0.00099762,0.00099762
4,324.236,0.80957,1.60972,1.34747,0.28,0.62244,0.40661,0.3404,0.60732,1.56305,1.31654,0.000998489,0.000998489,0.000998489
5,403.133,0.78487,1.55598,1.3218,0.37359,0.65568,0.4986,0.41438,0.66346,1.27175,1.35428,0.000997316,0.000997316,0.000997316
6,482.008,0.73438,1.50984,1.28393,0.3864,0.66334,0.48255,0.39878,0.65624,1.30743,1.35015,0.000995808,0.000995808,0.000995808
7,560.768,0.70767,1.48109,1.26835,0.426,0.66374,0.51858,0.43666,0.64549,1.25208,1.33088,0.000993967,0.000993967,0.000993967
8,639.634,0.70531,1.4455,1.26086,0.4437,0.67585,0.53996,0.46162,0.59263,1.23871,1.28598,0.000991795,0.000991795,0.000991795
9,718.5,0.69287,1.43966,1.25421,0.39183,0.66495,0.49623,0.42359,0.59149,1.27946,1.25759,0.000989292,0.000989292,0.000989292
10,797.205,0.68668,1.42906,1.24812,0.39699,0.66156,0.54143,0.46523,0.56908,1.25354,1.25249,0.000986461,0.000986461,0.000986461
11,875.979,0.69243,1.39764,1.25008,0.42906,0.69159,0.56816,0.48021,0.62459,1.17344,1.32173,0.000983304,0.000983304,0.000983304
12,954.727,0.66794,1.38494,1.23488,0.48752,0.67023,0.57286,0.48739,0.60925,1.13011,1.27929,0.000979822,0.000979822,0.000979822
13,1033.45,0.658,1.37363,1.22542,0.47707,0.62198,0.58341,0.50394,0.55062,1.16833,1.23394,0.000976018,0.000976018,0.000976018
14,1112.21,0.65897,1.35196,1.22953,0.42072,0.67061,0.56802,0.48455,0.59988,1.30232,1.27818,0.000971894,0.000971894,0.000971894
15,1190.92,0.64274,1.34661,1.21924,0.53249,0.69481,0.64424,0.54379,0.62959,1.04079,1.30231,0.000967454,0.000967454,0.000967454
16,1269.6,0.63329,1.34314,1.21216,0.54658,0.6428,0.62235,0.53482,0.58395,1.10945,1.2842,0.000962701,0.000962701,0.000962701
17,1348.3,0.63299,1.32118,1.21101,0.52319,0.68708,0.64407,0.56415,0.52094,1.04464,1.19212,0.000957637,0.000957637,0.000957637
18,1427.08,0.63735,1.32415,1.21394,0.59177,0.64416,0.65566,0.5752,0.52796,1.02249,1.21121,0.000952267,0.000952267,0.000952267
19,1505.95,0.63137,1.31768,1.20811,0.56322,0.64943,0.67013,0.59133,0.51717,1.02224,1.18152,0.000946593,0.000946593,0.000946593
20,1584.76,0.62965,1.29211,1.20725,0.50939,0.70028,0.64909,0.56398,0.55215,1.05832,1.22449,0.00094062,0.00094062,0.00094062
21,1663.36,0.61386,1.27678,1.19358,0.59577,0.68418,0.68703,0.60427,0.51455,0.97491,1.18426,0.000934352,0.000934352,0.000934352
