epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.6035,0.92688,2.26608,1.45211,0.15183,0.24211,0.10273,0.06214,1.75465,2.80842,2.37378,0.0671692,0.000331624,0.000331624
2,121.26,0.81986,1.78311,1.35402,0.27449,0.71784,0.37371,0.31495,0.66531,1.60688,1.39308,0.0341691,0.000664846,0.000664846
3,175.568,0.78702,1.64791,1.32032,0.26943,0.68322,0.33692,0.2678,0.79567,1.76301,1.53516,0.00116856,0.00099762,0.00099762
4,229.834,0.76175,1.58364,1.30994,0.34026,0.68485,0.40617,0.33416,0.67762,1.51228,1.36295,0.000998489,0.000998489,0.000998489
5,283.798,0.74416,1.54084,1.29236,0.31775,0.69126,0.47935,0.37939,0.81256,1.4165,1.5471,0.000997316,0.000997316,0.000997316
6,337.69,0.70291,1.49549,1.2613,0.42107,0.67952,0.48735,0.41667,0.57573,1.31763,1.256,0.000995808,0.000995808,0.000995808
7,391.59,0.68991,1.47046,1.25248,0.39066,0.66786,0.47345,0.40465,0.60908,1.43206,1.28983,0.000993967,0.000993967,0.000993967
8,445.561,0.68598,1.44755,1.2478,0.34938,0.67185,0.42249,0.34796,0.66016,1.68969,1.40357,0.000991795,0.000991795,0.000991795
9,499.676,0.68141,1.43599,1.24525,0.44264,0.69237,0.55873,0.46594,0.65301,1.16368,1.35619,0.000989292,0.000989292,0.000989292
10,553.679,0.67064,1.42264,1.23908,0.42934,0.61512,0.53885,0.44093,0.70981,1.25674,1.41934,0.000986461,0.000986461,0.000986461
11,607.418,0.68279,1.40064,1.2423,0.46044,0.66602,0.55702,0.46543,0.66775,1.17646,1.34064,0.000983304,0.000983304,0.000983304
12,660.836,0.65871,1.39836,1.22828,0.44527,0.6655,0.57187,0.47986,0.63714,1.13184,1.2971,0.000979822,0.000979822,0.000979822
13,714.601,0.64028,1.37675,1.21302,0.42803,0.65846,0.5644,0.49215,0.53939,1.20615,1.2105,0.000976018,0.000976018,0.000976018
